C0,C1,C2,C3,C4,C5,flux
-286.31869,6.3981272,3.0519971,-0.026704029,-0.24939355,-0.028701462,161.6
180.98832,-1.7688183,7.209788,0.0079741101,-0.22912214,-0.063699534,158.5
29.616759,0.91616767,-7.2104404,-0.0037702733,-0.0098136533,0.041004676,158.3
-225.80017,5.2223108,2.6025114,-0.021689466,-0.1172238,-0.046583704,155.4
-227.11994,5.5080401,-2.8887945,-0.023846914,-0.1573525,0.0061326041,146.7
-54.916755,2.537975,0.40620938,-0.0116679,-0.23678679,-0.017277333,146.5
15.626595,1.098914,-0.31522409,-0.0043914589,-0.21861866,0.0016339336,146.0
-43.33428,2.1109125,6.9866344,-0.008743751,-0.20456919,-0.06047394,139.5
-152.97546,4.5671029,-5.5682534,-0.02105093,-0.26726586,0.036765358,143.8
-278.97039,6.1909637,-9.426056,-0.025998423,-0.25052037,0.075668574,149.5
291.93972,-3.694797,-12.349706,0.015616418,-0.097030969,0.11694954,162.5
-226.61839,5.2596578,-17.299862,-0.022479359,-0.34344798,0.12643003,145.8
-360.26475,7.9313847,5.0398735,-0.035335841,-0.15338308,-0.05210173,145.9
-214.04338,5.435864,1.6670351,-0.024211438,-0.31008669,-0.025145154,142.1
136.01471,-0.37208598,-0.94206838,-0.00068963592,-0.27610534,-0.019903508,137.5
-69.822823,2.851868,3.7972002,-0.013070616,-0.18545466,-0.064873038,134.2
-57.851943,2.6369843,3.4223181,-0.011933894,-0.25420761,-0.051341897,135.1
-1.8614029,1.6704746,0.42014358,-0.0080132812,-0.24840944,-0.028917791,137.0
-130.45746,3.974988,1.8616173,-0.017970875,-0.28239672,-0.042868456,147.9
56.994212,1.0159633,-18.766691,-0.0071665308,-0.17019205,0.16207341,150.1
-105.48836,3.1778576,-7.867349,-0.013221387,-0.13050809,0.049820577,151.4
-105.75793,3.3846166,-6.5603752,-0.014853979,-0.18635231,0.041181073,153.8
-21.082668,1.8469406,3.3643411,-0.0080655296,-0.2717744,-0.033516439,156.0
-153.49052,4.2521229,12.787312,-0.018515417,-0.25062914,-0.12575321,157.7
-85.286767,3.0771903,0.85529744,-0.013993651,-0.056193362,-0.036482303,152.0
-241.50078,5.7157154,-11.192083,-0.024506515,-0.38619769,0.079599144,152.5
-68.549164,3.115126,2.0793298,-0.014840334,-0.30595722,-0.030850935,144.2
-218.01847,5.6080181,-4.0158415,-0.024910715,-0.19161323,0.022001399,145.9
52.957061,0.60932722,1.2295678,-0.0028639096,-0.070368826,-0.033758155,142.3
-134.91977,3.8927878,1.4821,-0.016529612,-0.21227099,-0.027466866,148.1
-300.80068,6.6851581,-4.5856033,-0.028461807,-0.12699859,0.026639859,152.1
106.41841,0.072384618,5.3393974,-0.003324715,-0.27199149,-0.072812673,125.3
724.6213,-10.815745,5.1937043,0.044201828,-0.36859097,-0.077789788,128.1
-231.52762,5.2862143,1.734068,-0.022701273,-0.1591032,-0.010618658,122.9
-55.606121,2.3534458,-2.5826917,-0.010095899,-0.22357206,0.008038083,122.1
-87.522391,2.7215766,3.3821412,-0.011371633,-0.2130737,-0.037919714,137.9
-312.2307,6.2514418,-10.255167,-0.025074163,-0.049335604,0.057754128,125.4
-209.71808,4.794242,6.0152612,-0.020027352,-0.154139,-0.079672205,135.7
-124.71744,3.3683916,1.8668207,-0.014768316,0.038188764,-0.04375215,122.3
-204.94601,4.8517053,1.1468663,-0.020748539,-0.072183723,-0.030879719,121.2
-14.298085,1.4270468,8.8448569,-0.0059097779,-0.21184365,-0.092950978,119.2
-17.275126,1.2326309,-0.83862121,-0.0043855451,-0.069655085,-0.010465169,129.9
-130.99889,3.3807123,2.8535098,-0.013968937,-0.19731077,-0.029472984,125.1
-139.13591,3.6944408,-0.37508689,-0.015824838,-0.14746723,-0.013158347,117.9
-205.73766,4.608818,-11.147137,-0.019208734,0.02137505,0.079145096,114.3
